hilane,	हिलाने,	हिलने
premi,	प्रेमी,	प्रेमी
idol,	आइडल,	आइडल
short,	शोर्ट,	शोर्ट
andheri,	अंधेरी,	अंधेरी
jamaati,	जमाती,	जमाती
nabz,	नब्ज,	नब्ज़
pachata,	पचाता,	पचाता
egmor,	एजमर,	एगमोर
farrukhabad,	फररुखाबाद,	फर्रुखाबाद
snikarse,	स्नीकर्स,	स्नीकर्स
aisa,	ऐसा,	एेसा
sanshayon,	संशायों,	संशयों
ubal,	उबल,	उबाल
tainin,	तैनीन,	टैनिन
prativaad,	प्रतिवाद,	प्रतिवाद
formulae,	फॉर्मूलाई,	फार्मूले
baksa,	बकसा,	बक्सा
baji,	बाजी,	बाज़ी
ghontne,	घोंटने,	घोंटने
dukaanon,	दुकानों,	दुकानों
chabutare,	चबुतारे,	चबूतरे
bangsh,	बंग्ष,	बंगश
niyantaa,	नियानता,	नियंता
akapulko,	अकपुलको,	अकापुल्को
ashvtth,	अश्वत्थ,	अश्वत्थ
prashansanon,	प्रशंसनों,	प्रशासनों
erica,	एरिका,	एरिका
chamkana,	चमकना,	चमकना
astar,	अस्तर,	एस्टर
race,	रेस,	रेस
gerome,	जेरोम,	जेरोम
suljaayi,	सुलजाई,	सुलझाई
aaryan,	आर्यान,	आर्यों
sivan,	सिवान,	सिवान
harem,	हरेम,	हैरम
mantriyon,	मंत्रियों,	मंत्रियों
putle,	पुटले,	पुतले
bulao,	बुलाओ,	बुलाओ
bagd,	बग्ड,	बगड़
peary,	पेरी,	पियरी
jaayke,	जायके,	जायके
failaiya,	फैलैया,	फैलाइए
jivaniyaan,	जीवनियां,	जीवनियां
sipahiyon,	सिपाहियों,	सिपाहियों
shavkon,	शावकों,	शावकों
awantipora,	अवंतीपोरा,	अवंतिपुर
rodolph,	रोडोल्फ,	रुडोल्फ
catholic,	कैथलिक,	कैथोलिक
parimal,	परिमाल,	परिमल
raghavan,	राघवान,	राघवन
khanda,	खंडा,	खंडा
juye,	जुए,	जुए
dhokebaj,	धोखेबाज,	धोखेबाज
dhaak,	ढाक,	धाक
afroz,	अफरोज,	अफरोज
ludhkate,	लुढकते,	लुढ़कते
naksalwad,	नक्सलवाद,	नक्सलवाद
khapat,	खपट,	खपत
kalika,	कालिका,	कलिका
muhavre,	मुहावरे,	मुहावरे
bharane,	भरने,	भरने
prathamik,	प्राथमिक,	प्राथमिक
amadani,	आमादानी,	आमदनी
dinosaur,	दिनोसौर,	डायनासोर
menon,	मेनों,	मैनन
down,	डॉन,	डाउन
peetne,	पीटने,	पीटने
nischal,	निस्चल,	निश्चल
bekabu,	बेकाबू,	बेकाबू
niptara,	निपटारा,	निपटारा
devidson,	डेविडसन,	डेविडसन
kardhe,	कार्धे,	करघे
alonso,	एलोंसो,	अलोंसो
gudna,	गुड़ना,	गुदना
phurti,	फूर्ति,	फूर्ति
robertson,	रॉबर्ट्सन,	रॉबर्टसन
composer,	कंपोसर,	कंपोजर
apaardarshi,	अपरदर्शी,	अपारदर्शी
paraadheen,	पराधीन,	पराधीन
gujarte,	गुजरते,	गुजारते
lagatar,	लगातर,	लागातार
tippnikar,	टिप्पनिकर,	टिप्पणीकार
aram,	आरम,	आराम
chithrkar,	चित्रकर,	चित्रकार
tuglak,	तुगलक,	तुगलक
multae,	मूलताई,	मुल्ताई
prapaat,	प्रपात,	प्रपात
jayalalitaa,	जयलालता,	जयललिता
aden,	आदेन,	एडेन
bechakar,	बेचाकर,	बेचकर
kaushalata,	कौशलता,	कौशलता
bang,	बंग,	बंग
rozlyn,	रॉजलीन,	रोजलिन
baawaraa,	बावरा,	बावरा
bandhuon,	बंधुओं,	बंधुओं
denevali,	देनेवाली,	देनेवाली
brigadier,	ब्रिगेडियर,	ब्रिगेडियर
eon,	इयन,	इआन
dungarpur,	दुंगरपुर,	डूंगरपुर
korola,	कोरोला,	कोरोला
sankhyaein,	संख्याएं,	संख्याएं
email,	एमेल,	ईमेल
shringaar,	श्रृंगार,	शृंगार
sanasthit,	संस्थित,	संस्थित
meharaam,	मेहराम,	मेहराम
nidhaan,	निधान,	निधान
munaf,	मूनाफ,	मुनाफ
aapkaa,	आपका,	आपका
thaki,	ठाकी,	थकी
jheelon,	झीलों,	झीलों
mehmaan,	मेहमान,	मेहमान
robinson,	रॉबिंसन,	रॉबिंसन
dhaga,	धागा,	धागा
virajati,	विराजति,	विराजती
cute,	कूट,	क्यूट
nauner,	नॉनर,	नौनेर
ludhakate,	लुढ़कते,	लुढ़कते
aagaman,	आगमन,	आगमन
bhulo,	भूलो,	भूलो
asan,	असान,	आसान
banva,	बनवा,	बनवा
girjagharon,	गिरजाघरों,	गिरजाघरों
candidate,	कैंडिडेट,	कैंडिडेट
kihatkati,	किहतकती,	खटकती
jamana,	जमाना,	ज़माना
khajrana,	खजराना,	खजराना
narsanhar,	नरसंहार,	नरसंहार
equador,	एक्वाडर,	इक्वाडोर
mithai,	मिठाई,	मिठाई
shanivar,	शानीवार,	शनिवार
tyohaar,	त्योहार,	त्यौहार
ronaldo,	रोनाल्डो,	रोनाल्डो
kiratpur,	किरतपुर,	कीरतपुर
noobiyaa,	नूबिया,	नूबिया
girati,	गिरती,	गिरती
jeen,	जीन,	जिन
mukhyopadhyaay,	मुख्योपाध्याय,	मुखोपाध्याय
harawal,	हरावल,	हरावल
ftii,	फीटीआई,	एफटीआईआई
pigs,	पिग्स,	पिग्स
pratishat,	प्रतिष्ट,	प्रतिशत
sajan,	सजन,	साजन
denewali,	देनेवाली,	देनेवाली
lalak,	लालक,	ललक
mnaey,	मनाय,	मनाए
parwa,	पर्व,	परवा
bhaunho,	भौनहो,	भौंहों
morya,	मोर्या,	मौर्या
hoshangabaad,	होशनाबाद,	होशंगाबाद
conjunction,	कंजन्शिशन,	कंजंक्शन
dridh,	दृद्ध,	दृढ़
karki,	कर्की,	कार्की
robin,	रॉबीन,	रोबिन
lakshmighar,	लक्ष्मीघार,	लक्ष्मीधर
jalesar,	जलेसर,	जलेसर
samjhunga,	समझुंगा,	समझूंगा
daataa,	दाता,	दाता
colon,	कोलों,	कोलन
samalakhaa,	समलखा,	समालखा
shrunkhlaon,	शृंखलाओं,	श्रंखलाओं
kochi,	कोची,	कोच्चि
vyvhargat,	व्ववहार्गत,	व्यवहारगत
aise,	एसे,	ऐसे
putaliyon,	पुतालियों,	पुतलियों
branti,	ब्रांती,	भ्रांति
shaly,	शल्य,	शैली
kundaliyan,	कुंडलियां,	कुंडलियाँ
ralhan,	राह्ण,	रल्हन
betul,	बेटल,	बैतूल
prashasnik,	प्रशस्निक,	प्रशासनिक
charts,	चार्ट्स,	चार्ट्स
rasayanik,	रसायनिक,	रासायनिक
bhogte,	भोगते,	भोगते
tranjister,	ट्रांजीस्टर,	ट्रांजिस्टर
jue,	जूए,	जुए
hurricane,	हररिकन,	हरिकेन
eddie,	एडी,	एड्डी
pathykram,	पाठ्यक्रम,	पाठ्यक्रम
goswami,	गोस्वामी,	गोस्वामी
urff,	ऊरफफ,	उर्फ
kathfodave,	कथफोडड़े,	कठफोड़वे
asamany,	असामान्य,	असमान्य
abaru,	अबरू,	आबरू
taste,	तस्ते,	टेस्ट
machanno,	मचानों,	मचानों
virchand,	वीरचंद,	वीरचंद
harjeet,	हरजीत,	हारजीत
fortis,	फॉर्टिस,	फोर्टिस
chhetthari,	छेत्ारी,	छेत्री
najibabad,	नजीबाबाद,	नजीबाबाद
addi,	अड्डी,	एड्डी
lalpur,	लालपुर,	लालपुर
medical,	मेडिकल,	मेडीकल
earth,	ईर्थ,	अर्थ
gosvami,	गोस्वामी,	गोस्वामी
ot,	ओटी,	ओत
bakhshane,	बख्शने,	बख्शने
tuth,	तूथ,	ट्रुथ
paim,	पैम,	पैम
yugm,	युग्म,	युग्म
sudip,	सुदीप,	सुदीप
fadfadata,	फड़फड़ता,	फड़फड़ाता
seth,	सेठ,	सेथ
baldwin,	बाल्डवीन,	बाल्डविन
tanjavur,	तंजावुर,	तंजावुर
aamdi,	आमदी,	आमदी
badhayi,	बाधायी,	बढ़ायी
chidchidapan,	चिड़चिड़पान,	चिड़चिड़ापन
packagon,	पक्गों,	पैकेजों
dual,	डुएल,	ड्युअल
sandrbhon,	संद्रभों,	संदर्भों
tik,	टीक,	टिक
wanon,	वनों,	वाणों
phod,	फोड,	फोड़
enthe,	ऐंठे,	ऐंठे
aawajen,	आवाजें,	आवाज़ें
atake,	आटके,	अटके
kanthahar,	कंठहर,	कंठहार
vipreetataa,	विप्रीतता,	विपरीतता
nagin,	नागीन,	नागिन
nagaada,	नगदा,	नगाड़ा
laigikata,	लैगिकता,	लैंगिकता
udanon,	उदानों,	उड़ानों
thirake,	थिरके,	थिरके
vishwasniiyataa,	विश्वस्नीयता,	विश्वसनीयता
dhakelte,	धकेलते,	धकेलते
basil,	बसील,	बेसिल
chhutane,	छुटने,	छूटने
jeera,	जीरा,	जीरा
gulshan,	गुलशान,	गुलशन
bethnal,	बेथनाल,	बेथनल
robin,	रॉबीन,	राबिन
amarpaal,	अमरपाल,	अमरपाल
ruby,	रबी,	रुबी
changed,	चेंगेड,	चेंज्ड
purjon,	पूर्जों,	पुर्जों
